29700000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;],[0;3000;6000;9000;12000;15000;18000;21000;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;]
30600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;],[0;3000;6000;9000;12000;15000;18000;21000;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;]
31500000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;],[0;3000;6000;9000;12000;15000;18000;21000;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;]
32400000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;],[0;3000;6000;9000;12000;15000;18000;21000;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;]
33300000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;],[0;3000;6000;9000;12000;15000;18000;21000;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;]
34200000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;],[0;3000;6000;9000;12000;15000;18000;21000;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;]
35100000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;],[0;3000;6000;9000;12000;15000;18000;21000;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;]
36000000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;],[0;3000;6000;9000;12000;15000;18000;21000;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;22297;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4297;7297;10297;13297;16297;19297;22297;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1294;4294;7294;10294;13294;16294;19294;22294;],[0;3000;6000;9000;12000;15000;18000;21000;22294;22294;22294;22294;22294;22294;22294;22294;22294;22294;22294;22294;22294;22294;22294;22294;22294;22294;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1294;4294;7294;10294;13294;16294;19294;22294;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1269;4269;7269;10269;13269;16269;19269;22269;],[0;3000;6000;9000;12000;15000;18000;21000;22269;22269;22269;22269;22269;22269;22269;22269;22269;22269;22269;22269;22269;22269;22269;22269;22269;22269;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1269;4269;7269;10269;13269;16269;19269;22269;]
