1800000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;630;3630;6630;9630;12630;15630;],[0;3000;6000;9000;12000;15000;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;2604;5208;7812;10416;13020;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;15630;]
2700000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1032;4032;7032;10032;13032;],[0;3000;6000;9000;12000;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;2604;5208;7812;10416;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;13032;]
2700000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187;5220;11220;17220;23220;29220;],[0;6000;12000;18000;24000;28033;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15360;19202;19694;20191;20716;21213;21710;22207;22703;23200;23697;24194;24690;25216;25713;26210;26697;27204;27708;28212;28716;29220;]
2700000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187;5219;11219;17219;23219;29219;],[0;6000;12000;18000;24000;28032;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15360;19201;19693;20190;20716;21212;21709;22206;22703;23199;23696;24193;24690;25215;25712;26209;26696;27203;27707;28211;28715;29219;]
2700000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187;5220;11220;17220;23220;29220;],[0;6000;12000;18000;24000;28033;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15360;19202;19694;20191;20716;21213;21710;22207;22703;23200;23697;24194;24690;25216;25713;26210;26697;27204;27708;28212;28716;29220;]
2700000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187;5219;11219;17219;23219;29219;],[0;6000;12000;18000;24000;28032;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15360;19201;19693;20190;20716;21212;21709;22206;22703;23199;23696;24193;24690;25215;25712;26209;26696;27203;27707;28211;28715;29219;]
2700000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187;5220;11220;17220;23220;29220;],[0;6000;12000;18000;24000;28033;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15360;19202;19694;20191;20716;21213;21710;22207;22703;23200;23697;24194;24690;25216;25713;26210;26697;27204;27708;28212;28716;29220;]
2700000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187;5219;11219;17219;23219;29219;],[0;6000;12000;18000;24000;28032;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15360;19201;19693;20190;20716;21212;21709;22206;22703;23199;23696;24193;24690;25215;25712;26209;26696;27203;27707;28211;28715;29219;]
2700000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187;5220;11220;17220;23220;29220;],[0;6000;12000;18000;24000;28033;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15360;19202;19694;20191;20716;21213;21710;22207;22703;23200;23697;24194;24690;25216;25713;26210;26697;27204;27708;28212;28716;29220;]
2700000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187;5219;11219;17219;23219;29219;],[0;6000;12000;18000;24000;28032;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;29219;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15360;19201;19693;20190;20716;21212;21709;22206;22703;23199;23696;24193;24690;25215;25712;26209;26696;27203;27707;28211;28715;29219;]
2700000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187;5220;11220;17220;23220;29220;],[0;6000;12000;18000;24000;28033;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;29220;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15360;19202;19694;20191;20716;21213;21710;22207;22703;23200;23697;24194;24690;25216;25713;26210;26697;27204;27708;28212;28716;29220;]
3600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2853;7380;13380;19380;25380;],[0;6000;12000;18000;22527;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15363;15862;16370;16877;17359;17867;18375;18857;19364;19872;20354;20862;21369;21877;22359;22867;23375;23868;24372;24876;25380;]
3600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2853;7381;13381;19381;25381;],[0;6000;12000;18000;22528;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15364;15863;16370;16878;17360;17868;18375;18858;19365;19873;20380;20863;21370;21878;22360;22868;23376;23869;24373;24877;25381;]
3600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2853;7380;13380;19380;25380;],[0;6000;12000;18000;22527;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15363;15862;16370;16877;17359;17867;18375;18857;19364;19872;20354;20862;21369;21877;22359;22867;23375;23868;24372;24876;25380;]
3600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2853;7381;13381;19381;25381;],[0;6000;12000;18000;22528;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15364;15863;16370;16878;17360;17868;18375;18858;19365;19873;20380;20863;21370;21878;22360;22868;23376;23869;24373;24877;25381;]
3600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2853;7380;13380;19380;25380;],[0;6000;12000;18000;22527;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15363;15862;16370;16877;17359;17867;18375;18857;19364;19872;20354;20862;21369;21877;22359;22867;23375;23868;24372;24876;25380;]
3600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2853;7381;13381;19381;25381;],[0;6000;12000;18000;22528;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15364;15863;16370;16878;17360;17868;18375;18858;19365;19873;20380;20863;21370;21878;22360;22868;23376;23869;24373;24877;25381;]
3600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2852;7379;13379;19379;25379;],[0;6000;12000;18000;22527;25379;25379;25379;25379;25379;25379;25379;25379;25379;25379;25379;25379;25379;25379;25379;25379;25379;25379;25379;25379;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15363;15861;16369;16877;17359;17866;18374;18856;19364;19871;20353;20861;21369;21876;22358;22866;23374;23867;24371;24875;25379;]
3600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2853;7381;13381;19381;25381;],[0;6000;12000;18000;22528;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15364;15863;16370;16878;17360;17868;18375;18858;19365;19873;20380;20863;21370;21878;22360;22868;23376;23869;24373;24877;25381;]
3600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2853;7380;13380;19380;25380;],[0;6000;12000;18000;22527;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15363;15862;16370;16877;17359;17867;18375;18857;19364;19872;20354;20862;21369;21877;22359;22867;23375;23868;24372;24876;25380;]
3600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2853;7381;13381;19381;25381;],[0;6000;12000;18000;22528;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;25381;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15364;15863;16370;16878;17360;17868;18375;18858;19365;19873;20380;20863;21370;21878;22360;22868;23376;23869;24373;24877;25381;]
3600000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2852;7380;13380;19380;25380;],[0;6000;12000;18000;22528;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;25380;],[24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;],[0;3840;7680;11520;15364;15862;16370;16877;17359;17867;18375;18857;19364;19872;20354;20862;21369;21877;22359;22867;23375;23868;24372;24876;25380;]
